old_path,hit_count,category,proposed_destination,confidence,match_type,status,notes
/node/2843/free-legal-clinic-idaho-falls,115,node,/about-idaho-legal-aid-services,70,fuzzy_alias,pending,"Matched 2/5 words: legal, idaho"
/topics/2507/workplace-safety-health,115,topics,/resources/workplace-safety,70,fuzzy_alias,pending,"Matched 2/3 words: workplace, safety"
/atomlib.php,114,other,,0,unknown,no_match,"Unknown path format"
/node/1297/ada-county-community-resources-manual,114,node,/resources/renter-resources,70,title_match,pending,"Title match: ""Renter Resources"""
/node/2163/how-report-your-lender,114,node,/about-us/financials-reports,70,title_match,pending,"Title match: ""Financials & Reports"""
"/sites/idaholegalaid.org/files/Detailed Custody Court Process for Custody or Divorce Cases - Updated 2022.pdf",114,other,,0,unknown,no_match,"Unknown path format"
/new.php,113,other,,0,unknown,no_match,"Unknown path format"
/node/2308/reasonable-accommodation,113,node,/resources/public-accommodations,70,title_match,pending,"Title match: ""Public Accommodations"""
/node/2775/response-petition-guardian-minor-template,113,node,/resources/adult-guardianship-and-conservatorship,70,title_match,pending,"Title match: ""Adult Guardianship and Conservatorship"""
/taxonomy/term/2476,113,taxonomy,,0,no_match,no_match,"Old taxonomy term ID 2476 does not exist"
/topics/2760/expungement,113,topics,/topics/expungement,95,exact_alias,pending,"Exact alias match found"
/bless.php,112,other,,0,unknown,no_match,"Unknown path format"
/node/1254/legal-definition-domestic-violence,112,node,/topics/domestic-violence,70,fuzzy_alias,pending,"Matched 2/4 words: domestic, violence"
"/sites/idaholegalaid.org/files/Brief in support of defendants motion for temporary orders.doc",111,other,,0,unknown,no_match,"Unknown path format"
/topics/2650/chapter-13,111,topics,,0,no_match,no_match,"No matching content found"
/node/1096/domestic-violence-services,110,node,/topics/domestic-violence,70,fuzzy_alias,pending,"Matched 2/3 words: domestic, violence"
/node/2387/fair-lending-manufactured-housing,110,node,/topics/federal-fair-housing-act,70,fuzzy_alias,pending,"Matched 2/4 words: fair, housing"
/css.php,109,other,,0,unknown,no_match,"Unknown path format"
